2026-03-25:15:12:28:244: @11_SYSID;
2026-03-25:15:15:40:614: [00/08/28,08:19:24.0810,0040]#11_CAN=1,STD,0X07FB,0X2C00000000000000;
2026-03-25:15:15:40:616: [00/08/28,08:19:24.0811,0040]#11_CAN=1,STD,0X07FB,0X2D00000000000213;
2026-03-25:15:15:40:618: [00/08/28,08:19:24.0813,0040]#11_CAN=1,STD,0X07FB,0X2E0013A0D4110000;
2026-03-25:15:15:40:620: [00/08/28,08:19:24.0815,0040]#11_CAN=1,STD,0X07FB,0X2F00000000000000;
2026-03-25:15:15:40:621: [00/08/28,08:19:24.0817,0040]#11_CAN=1,STD,0X07FB,0X2000000000000213;
2026-03-25:15:15:40:623: [00/08/28,08:19:24.0819,0040]#11_CAN=1,STD,0X07FB,0X210013A0D4110000;
2026-03-25:15:15:40:625: [00/08/28,08:19:24.0821,0040]#11_CAN=1,STD,0X07FB,0X2200000000000000;
2026-03-25:15:15:40:642: [00/08/28,08:19:24.0823,0040]#11_CAN=1,STD,0X07FB,0X2300000000000213;
2026-03-25:15:15:40:644: [00/08/28,08:19:24.0825,0040]#11_CAN=1,STD,0X07FB,0X240013A0D4110000;
2026-03-25:15:15:40:646: [00/08/28,08:19:24.0827,0040]#11_CAN=1,STD,0X07FB,0X2500000000000000;
2026-03-25:15:15:40:648: [00/08/28,08:19:24.0829,0040]#11_CAN=1,STD,0X07FB,0X2600000000000213;
2026-03-25:15:15:40:651: [00/08/28,08:19:24.0831,0040]#11_CAN=1,STD,0X07FB,0X270013A0D4110000;
2026-03-25:15:15:40:652: [00/08/28,08:19:24.0833,0040]#11_CAN=1,STD,0X07FB,0X2800000000000000;
2026-03-25:15:15:40:655: [00/08/28,08:19:24.0835,0040]#11_CAN=1,STD,0X07FB,0X2900000000000213;
2026-03-25:15:15:40:657: [00/08/28,08:19:24.0837,0040]#11_CAN=1,STD,0X07FB,0X2A0012A0BE130896;
2026-03-25:15:15:40:659: [00/08/28,08:19:24.0839,0040]#11_CAN=1,STD,0X07FB,0X2B000002F7A10000;
2026-03-25:15:15:40:661: [00/08/28,08:19:24.0840,0040]#11_CAN=1,STD,0X07FB,0X2C00000000000000;
2026-03-25:15:15:40:664: [00/08/28,08:19:24.0842,0040]#11_CAN=1,STD,0X07FB,0X2D12A0BE13089800;
2026-03-25:15:15:40:666: [00/08/28,08:19:24.0844,0040]#11_CAN=1,STD,0X07FB,0X2E0002F9A1000000;
2026-03-25:15:15:40:667: [00/08/28,08:19:24.0846,0040]#11_CAN=1,STD,0X07FB,0X2F00000000000173;
2026-03-25:15:15:40:673: [00/08/28,08:19:24.0848,0040]#11_CAN=1,STD,0X07FB,0X20A0D2112F083690;
2026-03-25:15:15:40:675: [00/08/28,08:19:24.0850,0040]#11_CAN=1,STD,0X07FB,0X2100009B8B00000A;
2026-03-25:15:15:40:676: [00/08/28,08:19:24.0852,0040]#11_CAN=1,STD,0X07FB,0X227800009DE30D60;
2026-03-25:15:15:40:679: [00/08/28,08:19:24.0854,0040]#11_CAN=1,STD,0X07FB,0X230FC00000688741;
2026-03-25:15:15:40:681: [00/08/28,08:19:24.0856,0040]#11_CAN=1,STD,0X07FB,0X2440416000000BAD;
2026-03-25:15:15:40:683: [00/08/28,08:19:24.0858,0040]#11_CAN=1,STD,0X07FB,0X2541404160000004;
2026-03-25:15:15:40:684: [00/08/28,08:19:24.0860,0040]#11_CAN=1,STD,0X07FB,0X2691400040200000;
2026-03-25:15:15:40:686: [00/08/28,08:19:24.0862,0040]#11_CAN=1,STD,0X07FB,0X2706D54070409000;
2026-03-25:15:15:40:687: [00/08/28,08:19:24.0864,0040]#11_CAN=3,STD,0X07FB,0X1431A085020011A0;
